'country_name','cases','deaths','region','total_recovered','new_deaths','new_cases','serious_critical','active_cases','total_cases_per_1m_population'
'','721','13','0','619','0','0','10','89','0'
'USA','560433','22115','0','32634','10','133','11766','505684','1693'
'Spain','166831','17209','0','62391','0','0','7371','87231','3568'
'Italy','156363','19899','0','34211','0','0','3343','102253','2586'
'France','132591','14393','0','27186','0','0','6845','91012','2031'
'Germany','127854','3022','0','64300','0','0','4895','60532','1526'
'UK','84279','10612','0','0','0','0','1559','73323','1241'
'Iran','71686','4474','0','43894','0','0','3930','23318','853'
'Turkey','56956','1198','0','3446','0','0','1665','52312','675'
'Belgium','30589','3903','0','6707','303','942','1234','19979','2639'
'Netherlands','25587','2737','0','250','0','0','1384','22600','1493'
'Switzerland','25449','1115','0','12700','9','34','386','11634','2941'
'Canada','24383','717','0','7172','0','0','557','16494','646'
'Brazil','22318','1230','0','173','7','126','296','20915','105'
'Russia','18328','148','0','1470','18','2558','8','16710','126'
'Portugal','16585','504','0','277','0','0','228','15804','1627'
'Austria','13972','368','0','7343','18','27','239','6261','1551'
'Israel','11235','110','0','1689','7','90','181','9436','1298'
'S. Korea','10537','217','0','7447','3','25','55','2873','206'
'Sweden','10483','899','0','381','0','0','839','9203','1038'
'Ireland','9655','334','0','25','0','0','194','9296','1955'
'India','9240','331','0','1096','0','35','0','7813','7'
'Peru','7519','193','0','1798','0','0','134','5528','228'
'Ecuador','7466','333','0','501','0','0','184','6632','423'
'Japan','7370','123','0','784','0','0','129','6463','58'
'Chile','7213','80','0','2059','0','0','387','5074','377'
'Poland','6674','232','0','439','0','0','160','6003','176'
'Norway','6525','128','0','32','0','0','59','6365','1204'
'Australia','6359','61','0','3494','2','46','79','2804','249'
'Romania','6300','318','0','852','2','0','204','5130','327'
'Denmark','6174','273','0','2123','0','0','104','3778','1066'
'Czechia','5991','139','0','467','1','0','87','5385','559'
'Pakistan','5374','93','0','1095','2','144','44','4186','24'
'Philippines','4932','315','0','242','18','284','1','4375','45'
'Malaysia','4683','76','0','2108','0','0','66','2499','145'
'Mexico','4661','296','0','1843','23','442','185','2522','36'
'Indonesia','4557','399','0','380','26','316','0','3778','17'
'Saudi Arabia','4462','59','0','761','0','0','67','3642','128'
'UAE','4123','22','0','680','0','0','1','3421','417'
'Serbia','3630','80','0','400','0','0','146','3150','415'
'Panama','3400','87','0','29','0','0','106','3284','788'
'Luxembourg','3281','66','0','500','0','0','30','2715','5241'
'Ukraine','3102','93','0','97','10','325','45','2912','71'
'Finland','3064','56','0','300','0','90','80','2708','553'
'Qatar','2979','7','0','275','0','0','37','2697','1034'
'Dominican Republic','2967','173','0','131','0','0','147','2663','274'
'Colombia','2776','109','0','270','0','0','92','2397','55'
'Thailand','2579','40','0','1288','2','28','61','1251','37'
'Belarus','2578','26','0','203','0','0','50','2349','273'
'Singapore','2532','8','0','560','0','0','31','1964','433'
'Argentina','2208','95','0','468','5','66','83','1645','49'
'South Africa','2173','25','0','410','0','0','7','1738','37'
'Greece','2114','98','0','269','0','0','76','1747','203'
'Egypt','2065','159','0','589','0','0','0','1317','20'
'Algeria','1914','293','0','591','0','0','60','1030','44'
'Morocco','1746','120','0','196','2','85','1','1430','47'
'Iceland','1701','8','0','889','0','0','10','804','4985'
'Moldova','1662','33','0','107','2','0','80','1522','412'
'Croatia','1600','23','0','373','0','0','34','1204','390'
'Hungary','1458','109','0','120','10','48','58','1229','151'
'Iraq','1352','76','0','640','0','0','0','636','34'
'New Zealand','1349','5','0','546','1','19','4','798','280'
'Estonia','1332','27','0','102','2','23','9','1203','1004'
'Kuwait','1234','1','0','142','0','0','29','1091','289'
'Slovenia','1212','55','0','152','2','7','34','1005','583'
